date,open,high,low,close,volume
2005/1/4,12445,12485,12380,12385,29474
2005/1/5,12395,12470,12360,12460,40760
2005/1/6,12540,12695,12505,12680,50866
2005/1/7,12690,12690,12615,12635,37968
2005/1/10,12705,12775,12630,12635,41532
2005/1/11,12705,12740,12595,12615,31592
2005/1/12,12570,12675,12550,12675,27792
2005/1/13,12675,12770,12660,12755,33030
2005/1/14,12725,12795,12705,12770,21558
2005/1/17,12755,12770,12695,12740,19310
2005/1/18,12715,12795,12715,12770,19524
2005/1/19,12790,12850,12790,12830,20154
2005/1/20,13075,13090,13025,13055,22370
2005/1/21,13015,13040,12980,13030,15598
2005/1/24,12965,13145,12925,13120,22334
2005/1/25,13080,13210,13050,13190,24332
2005/1/26,13205,13230,13115,13165,22712
2005/1/27,13150,13215,13120,13175,24928
2005/1/28,12930,13090,12930,12990,39372
2005/1/31,12965,13095,12950,13085,26306
2005/2/1,13100,13185,13080,13180,25728
2005/2/2,13335,13335,13255,13265,15770
2005/2/3,13165,13215,13150,13200,18802
2005/2/4,13140,13225,13130,13220,13844
2005/2/16,13395,13445,13320,13410,20040
2005/2/17,13395,13465,13375,13440,17010
2005/2/18,13425,13540,13410,13510,20202
2005/2/21,13555,13575,13400,13405,26374
2005/2/22,13405,13565,13375,13550,26248
2005/2/23,13650,13765,13635,13715,32474
2005/2/24,13700,13750,13660,13725,29656
2005/2/25,13690,13740,13675,13705,22126
2005/2/28,13880,13905,13785,13825,25984
2005/3/1,13880,13960,13770,13840,27102
2005/3/2,13660,13725,13640,13725,26748
2005/3/3,13825,13890,13815,13870,20826
2005/3/4,13880,13985,13840,13980,20906
2005/3/7,14200,14240,14155,14230,20970
2005/3/8,14260,14345,14260,14345,19108
2005/3/9,14300,14370,14270,14360,20732
2005/3/10,14430,14430,14330,14335,15744
2005/3/11,14305,14385,13910,13915,36338
2005/3/14,14020,14275,13840,14255,49338
2005/3/15,14220,14260,14165,14240,29258
2005/3/16,14280,14580,14200,14450,33850
2005/3/17,14460,14510,14285,14345,38304
2005/3/18,14050,14195,13920,13975,34306
2005/3/21,13850,13960,13810,13915,24072
2005/3/22,13950,13985,13810,13880,29002
2005/3/23,13980,14050,13840,13845,33890
2005/3/24,13800,13910,13710,13810,28660
2005/3/25,13920,14320,13880,14220,51310
2005/3/28,14200,14335,14160,14280,44560
2005/3/29,14420,14480,14270,14330,42172
2005/3/30,14295,14355,14240,14305,27236
2005/3/31,14320,14375,14260,14270,28444
2005/4/1,14100,14300,14040,14050,23232
2005/4/4,14205,14375,14205,14365,24370
2005/4/5,14530,14540,14420,14460,18044
2005/4/6,14225,14280,14225,14250,19314
2005/4/7,14450,14550,14425,14550,17568
2005/4/8,14515,14580,14425,14475,22042
2005/4/11,14575,14780,14540,14780,46598
2005/4/12,14770,14800,14700,14755,29150
2005/4/13,14700,14700,14185,14460,50780
2005/4/14,14320,14390,14180,14265,38748
2005/4/15,14330,14420,14310,14395,27712
2005/4/18,14400,14450,14370,14390,22144
2005/4/19,14500,14580,14480,14565,31904
2005/4/20,14710,14730,14620,14625,25132
2005/4/21,14690,14690,14460,14510,34668
2005/4/22,14755,14800,14650,14750,24504
2005/4/25,14350,14495,14350,14410,27768
2005/4/26,14620,14620,14450,14460,27962
2005/4/27,14680,14695,14575,14650,24876
2005/4/28,14430,14475,14400,14460,26088
2005/4/29,14690,14755,14670,14700,21240
2005/5/9,14380,14440,14340,14390,24814
2005/5/10,14450,14450,14345,14355,25120
2005/5/11,15110,15110,14850,14885,23532
2005/5/12,15075,15215,15060,15150,20672
2005/5/13,14340,14390,14065,14190,30648
2005/5/16,14680,14755,14610,14730,27728
2005/5/17,14680,14800,14620,14735,35090
2005/5/18,14750,14915,14740,14910,25300
2005/5/19,15060,15060,14970,15005,23206
2005/5/20,14700,14720,14590,14605,34742
2005/5/23,14700,14700,14130,14180,36454
2005/5/24,14250,14290,14120,14190,29548
2005/5/25,14150,14175,13720,13905,59506
2005/5/26,14000,14100,13930,14005,46958
2005/5/27,14200,14295,14140,14280,34854
2005/5/30,14045,14390,13910,14285,51148
2005/5/31,14320,14375,14135,14170,45056
2005/6/1,14000,14000,13760,13760,41320
2005/6/2,13850,13955,13795,13925,38172
2005/6/3,14140,14195,14095,14160,33408
2005/6/6,13955,14235,13915,14190,51844
2005/6/7,14000,14180,13930,14090,50136
2005/6/8,14010,14180,14010,14155,43840
2005/6/9,14125,14260,14125,14165,39112
2005/6/10,14150,14200,14090,14175,29892
2005/6/13,14335,14450,14275,14285,45704
2005/6/14,14345,14360,14240,14305,43934
2005/6/15,14660,14680,14610,14675,28638
2005/6/16,14270,14315,14255,14270,27404
2005/6/17,14280,14305,14150,14160,36540
2005/6/20,14565,14615,14505,14595,29376
2005/6/21,14670,14685,14530,14555,24960
2005/6/22,14595,14600,14475,14500,23454
2005/6/23,14425,14460,14200,14245,25752
2005/6/24,14495,14545,14410,14520,20250
2005/6/27,14600,14600,14455,14460,24052
2005/6/28,14080,14190,14015,14025,24458
2005/6/29,13920,13980,13875,13945,22132
2005/6/30,14290,14310,14180,14205,18748
2005/7/1,14270,14395,14155,14390,17796
2005/7/4,14375,14580,14350,14580,33968
2005/7/5,14305,14320,14210,14255,24802
2005/7/6,14595,14630,14480,14560,29238
2005/7/7,14470,14505,14395,14460,22998
2005/7/8,14470,14595,14470,14590,27520
2005/7/11,14565,14785,14540,14755,46180
2005/7/12,14740,14825,14640,14815,48286
2005/7/13,14505,14645,14430,14465,57474
2005/7/14,14500,14595,14485,14575,43518
2005/7/15,14590,14620,14515,14520,32108
2005/7/18,14490,14545,14350,14395,36566
