index,2021年第三季度,2021年第二季度,2021年第一季度,2020年第四季度,2020年第三季度,2020年第二季度,2020年第一季度,2019年第四季度,2019年第三季度,2019年第二季度,2019年第一季度,2018年第四季度,2018年第三季度,2018年第二季度,2018年第一季度,2017年第四季度,2017年第三季度,2017年第二季度,2017年第一季度,2016年第四季度,2016年第三季度,2016年第二季度,2016年第一季度,2015年第四季度,2015年第三季度,2015年第二季度,2015年第一季度,2014年第四季度,2014年第三季度,2014年第二季度,2014年第一季度,2013年第四季度,2013年第三季度,2013年第二季度,2013年第一季度,2012年第四季度,2012年第三季度,2012年第二季度,2012年第一季度,2011年第四季度,2011年第三季度,2011年第二季度,2011年第一季度,2010年第四季度,2010年第三季度,2010年第二季度,2010年第一季度,2009年第四季度,2009年第三季度,2009年第二季度,2009年第一季度,2008年第四季度,2008年第三季度,2008年第二季度,2008年第一季度,2007年第四季度,2007年第三季度,2007年第二季度,2007年第一季度,2006年第四季度,2006年第三季度,2006年第二季度,2006年第一季度,2005年第四季度,2005年第三季度,2005年第二季度,2005年第一季度
国内生产总值当季值(亿元),290963.8,282857.4,249310.1,296297.8,264976.3,248985.1,205727,276798,251046.3,241502.6,217168.3,258808.9,234474.3,223962.2,202035.7,235428.7,212789.3,201950.3,181867.7,211566.2,191010.6,181408.2,162410,192572.9,176597.7,168549.7,151137.9,180828.9,165484.7,156489.6,140759.8,167772.3,152222.7,143518.7,129449.6,151812,138089.6,131320.6,117357.6,138012.1,126562.2,118895.9,104469.9,119306.8,105963.7,99347.4,87501.3,100825.8,89846.9,83865.8,73979.2,88699,82460.1,78711.8,69373.6,78669.3,69482.1,64781.6,57159.3,63621.6,56064.7,52673.3,47078.9,54024.8,48047.8,44793.1,40453.3
国内生产总值累计值(亿元),823131.3,532167.5,249310.1,1015986.2,719688.4,454712.1,205727,986515.2,709717.2,458670.9,217168.3,919281.1,660472.2,425997.9,202035.7,832035.9,596607.3,383818,181867.7,746395.1,534828.9,343818.2,162410,688858.2,496285.3,319687.6,151137.9,643563.1,462734.2,297249.5,140759.8,592963.2,425190.9,272968.2,129449.6,538580,386767.9,248678.3,117357.6,487940.2,349928,223365.8,104469.9,412119.3,292812.4,186848.7,87501.3,348517.7,247691.9,157845,73979.2,319244.6,230545.6,148085.5,69373.6,270092.3,191423.1,121940.9,57159.3,219438.5,155816.8,99752.2,47078.9,187318.9,133294.1,85246.4,40453.3
第一产业增加值当季值(亿元),23027.8,17070.2,11332.1,29630.2,22072,15866.8,10185.1,27464.4,19801,14439.9,8768.3,24938.7,18226.9,13003.8,8575.7,22992.9,18255.8,12644.9,8205.9,21728.2,17542.4,12555.9,8312.7,21376.1,17173.1,11852.2,7373.2,20522.1,16854.9,11109.4,7140,19864.3,15904.9,10389.7,6869.1,18071.3,14656,9911.4,6446,16189.7,13855.6,9143.3,5592.8,14185.4,11633.8,7785.6,4826,12355.9,9994.8,6868.3,4364.8,11440.1,9825.3,6831.2,4367.5,10338.4,8352.6,5510.1,3473,8616.6,6937.7,4750,3012.7,7956.4,6527.7,4438.6,2884
第一产业增加值累计值(亿元),51430.1,28402.3,11332.1,77754.1,48123.9,26051.9,10185.1,70473.6,43009.1,23208.2,8768.3,64745.2,39806.4,21579.5,8575.7,62099.5,39106.6,20850.8,8205.9,60139.2,38411,20868.7,8312.7,57774.6,36398.5,19225.5,7373.2,55626.3,35104.3,18249.4,7140,53028.1,33163.7,17258.8,6869.1,49084.6,31013.4,16357.3,6446,44781.5,28591.7,14736.1,5592.8,38430.8,24245.4,12611.6,4826,33583.8,21227.9,11233.1,4364.8,32464.1,21024,11198.7,4367.5,27674.1,17335.7,8983.1,3473,23317,14700.4,7762.7,3012.7,21806.7,13850.3,7322.6,2884
第二产业增加值当季值(亿元),113785.6,114530.7,92623.5,113939.9,100082.6,97699.4,72533.4,107730.1,96420.1,95923.7,80596.7,104023.9,93112.5,91100.6,76598.2,95368,84574.1,82323,69315.5,85504.1,75400.5,73416.5,61106.8,78356.3,71526.7,70950,60505.9,77725.9,70971.1,69458.3,59127.4,74211.4,66748.7,65130.3,55861.2,68633.5,62256.2,61433.2,52316.2,64334.6,58622.5,56884,47194,55933.6,48906.4,47422.3,39364.2,46928.2,41313,39378.6,32549,41196.4,38895,38248.4,31613.2,36861.1,32660.2,31126.2,25983.1,30429.8,26936.6,25574.7,21418.2,25723.9,22774,21425.3,18159
第二产业增加值累计值(亿元),320939.7,207154.2,92623.5,384255.3,270315.4,170232.8,72533.4,380670.6,272940.5,176520.4,80596.7,364835.2,260811.3,167698.8,76598.2,331580.5,236212.5,151638.4,69315.5,295427.8,209923.7,134523.3,61106.8,281338.9,202982.7,131455.9,60505.9,277282.8,199556.9,128585.8,59127.4,261951.6,187740.2,120991.5,55861.2,244639.1,176005.6,113749.4,52316.2,227035.1,162700.5,104077.9,47194,191626.5,135693,86786.5,39364.2,160168.8,113240.6,71927.6,32549,149952.9,108756.6,69861.6,31613.2,126630.5,89769.5,57109.3,25983.1,104359.2,73929.5,46992.9,21418.2,88082.2,62358.3,39584.3,18159
第三产业增加值当季值(亿元),154150.4,151256.5,145354.5,152727.6,142821.7,135418.9,123008.5,141603.5,134825.2,131139,127803.3,129846.2,123134.9,119857.8,116861.8,117067.8,109959.5,106982.4,104346.3,104334,98067.8,95435.8,92990.5,92840.6,87897.9,85747.4,83258.8,82580.9,77658.7,75921.9,74492.4,73696.6,69569.1,67998.6,66719.3,65107.2,61177.4,59976.1,58595.5,57487.8,54084,52868.6,51683.2,49187.8,45423.5,44139.5,43311.1,41541.7,38539.1,37618.9,37065.4,36062.5,33739.9,33632.3,33392.9,31469.8,28469.4,28145.3,27703.2,24575.3,22190.4,22348.5,22648,20344.5,18746,18929.2,19410.3
第三产业增加值累计值(亿元),450761.4,296611,145354.5,553976.8,401249.1,258427.4,123008.5,535371,393767.5,258942.3,127803.3,489700.8,359854.5,236719.7,116861.8,438355.9,321288.2,211328.7,104346.3,390828.1,286494.1,188426.3,92990.5,349744.7,256904.1,169006.2,83258.8,310654,228073,150414.3,74492.4,277983.5,204287,134717.9,66719.3,244856.2,179749,118571.6,58595.5,216123.6,158635.9,104551.8,51683.2,182061.9,132874,87450.6,43311.1,154765.1,113223.4,74684.3,37065.4,136827.5,100765.1,67025.2,33392.9,115787.7,84317.9,55848.5,27703.2,91762.2,67187,44996.5,22648,77430,57085.5,38339.5,19410.3
农林牧渔业增加值当季值(亿元),24007.2,17863.6,11887.6,30824.3,22974.9,16596.9,10707.8,28583.8,20632.8,15111.7,9248.7,25929,18961.8,13662.2,9005.8,23915.8,18944.2,13204.2,8595.8,22577.8,18162.2,13045.5,8665.5,22130.4,17739.2,12296.2,7686.8,21172.1,17371,11500.6,7428.5,20447.1,16367,10748.2,7130.2,18587.1,15070.2,10238.5,6685.4,16653.8,14219.6,9440.9,5808.3,14596.6,11957,8044.6,5020.8,12729.1,10281.5,7104.3,4544.7,11760.5,10084.2,7046.5,4536.9,10621.8,8572,5683.1,3606.9,8866.2,7129.6,4907.4,3133.1,8168,6690.4,4571,2986.8
农林牧渔业增加值累计值(亿元),53758.4,29751.2,11887.6,81103.9,50279.6,27304.7,10707.8,73576.9,44993.2,24360.4,9248.7,67558.7,41629.8,22668,9005.8,64660,40744.2,21800,8595.8,62451,39873.2,21711,8665.5,59852.6,37722.2,19983,7686.8,57472.2,36300.1,18929.1,7428.5,54692.4,34245.4,17878.4,7130.2,50581.2,31994.1,16923.9,6685.4,46122.6,29468.8,15249.2,5808.3,39619,25022.4,13065.4,5020.8,34659.7,21930.6,11649,4544.7,33428.1,21667.6,11583.4,4536.9,28483.7,17862,9290,3606.9,24036.4,15170.2,8040.5,3133.1,22416.2,14248.3,7557.8,2986.8
