index,2021年第三季度,2021年第二季度,2021年第一季度,2020年第四季度,2020年第三季度,2020年第二季度,2020年第一季度,2019年第四季度,2019年第三季度,2019年第二季度,2019年第一季度,2018年第四季度,2018年第三季度,2018年第二季度,2018年第一季度,2017年第四季度,2017年第三季度,2017年第二季度,2017年第一季度,2016年第四季度,2016年第三季度,2016年第二季度,2016年第一季度,2015年第四季度,2015年第三季度,2015年第二季度,2015年第一季度,2014年第四季度,2014年第三季度,2014年第二季度,2014年第一季度,2013年第四季度,2013年第三季度,2013年第二季度,2013年第一季度,2012年第四季度,2012年第三季度,2012年第二季度,2012年第一季度,2011年第四季度,2011年第三季度,2011年第二季度,2011年第一季度,2010年第四季度,2010年第三季度,2010年第二季度,2010年第一季度,2009年第四季度,2009年第三季度,2009年第二季度,2009年第一季度,2008年第四季度,2008年第三季度,2008年第二季度,2008年第一季度,2007年第四季度,2007年第三季度,2007年第二季度,2007年第一季度,2006年第四季度,2006年第三季度,2006年第二季度,2006年第一季度,2005年第四季度,2005年第三季度,2005年第二季度,2005年第一季度
农产品生产价格指数当季值（上年同期=100）,92,100.1,107.8,101.9,114.8,121.1,139,128.5,113.9,109.1,98.3,100.3,100.3,97,98.7,98.6,96.8,93.6,97.8,101.5,100.4,107.7,106.7,101.2,104.1,101.5,99.3,98.4,100.3,100.3,98.8,104.2,104.3,101.1,101.9,100.3,100.1,103,109.2,111.9,120.5,118,115.6,115.9,110.6,109,106.7,103.2,97.3,93.4,94.1,101.6,112.6,121.2,125.5,122.2,120.7,110.2,107.3,105.5,100.8,97.9,102.4,98.8,99.7,101.8,106.4
农业产品生产价格指数当季值（上年同期=100）,106.5,111.3,117.9,107.9,102.8,100.5,101.9,98.5,101.1,103.3,102,101.7,100.5,102.3,102.7,100.6,102.6,98.2,97.2,101.5,97.3,95.5,95.8,96.3,100,100.5,100.4,99,101.4,100.7,102.6,104.1,104.7,103.7,102.2,103.7,106.2,107,102.9,101.9,109,108.6,116.5,119.2,113.7,114.9,113.7,108.4,104.1,101,95.7,101.5,110,113.3,114.8,113.6,108.6,106,103.8,104.3,103.4,105.1,104.8,102,100.6,100.6,104.2
粮食生产价格指数当季值（上年同期=100）,,,,,,,,,,,,,,,103.8,101.4,102.5,98.9,95,97,94.3,91.2,91.5,94.3,98.1,101.4,101.7,102.3,103.9,101.3,101.6,102.5,104.1,103.3,102.1,104.1,103.8,105.1,105.6,107.7,108.4,109.6,112.1,114.4,112.7,114.1,111.5,106.5,102.1,100.7,98.4,104.3,113.2,112.6,111.4,113.3,108,107.6,107.3,104.2,103.1,99.8,98.6,97.8,96.8,99.5,106.6
谷物生产价格指数当季值（上年同期=100）,109.8,120,128.2,109.9,102.1,103.6,99.4,99.9,99,99.4,100.8,99.8,98.2,104.8,104.7,102.8,102.8,99.2,94.3,96.4,94.1,89,90.4,94.3,97.9,101.6,101.8,102.6,104,101.1,101.4,101.9,103.9,102.4,101,103.3,104,105.9,106.7,109,108.5,110.4,112.2,112.9,112.1,113.4,112.2,107.3,104.3,103.2,100.2,104.9,110,108.5,107.1,110.6,107.5,108,108,104.3,103.6,99.8,98.6,97.8,97.1,99.7,108
小麦生产价格指数当季值（上年同期=100）,108.5,103.8,107.8,102.9,98.8,101.8,94.8,99.8,98.1,100.1,99.4,102.7,97.3,100.8,101.8,103.3,105,105.5,103.7,98.8,95.8,91.4,93.8,94.2,96.8,101.4,103.7,102.2,104.3,105.8,108.4,107.4,106.6,107.3,107.1,105,102.1,101.2,102.5,103.9,103.8,106.4,107.2,107.3,107.5,107.4,109.4,108,107.5,109.3,107.3,107.2,109.5,107.8,108.7,109,105.1,104.8,105.4,102.1,101,96.2,94.9,95.2,95.8,99.1,109.4
稻谷生产价格指数当季值（上年同期=100）,102.5,100.8,106.8,106,102.3,101.2,96.4,98,98.7,93.4,95,96.4,96.1,100.3,101.2,101.2,101.2,99.3,100.5,99.5,97.5,98.1,99.4,99.4,101.5,102.6,102.4,102.3,103.2,102.3,100.8,101.5,100.4,101.8,105.5,102.9,105.6,105.8,105.4,110,116.5,112.7,115.8,116.5,111.9,111.8,108.9,105.4,104.5,106.6,104,106,111.7,106.9,103.5,106.1,104,104.5,103.6,102.8,101.9,101,98.9,100.1,98.3,101.4,113
玉米生产价格指数当季值（上年同期=100）,121,132.8,141.3,117.3,108.5,104.8,100.3,102.5,101.3,101.9,102.9,103.3,102.4,107.8,106.9,104.2,99.8,97.3,80.1,91.4,86.7,84.7,85.3,87.1,96.1,101.3,101.3,103,103.9,99.1,100.8,99.8,102,101,97.9,103.1,106.2,107.4,108,109.4,109.5,110.7,111,112.7,115.3,119.4,117.9,108.3,102.4,95.5,90.9,101.8,107.8,110.3,108.9,116.3,112.8,114.4,115,107.5,107.5,101.2,99.4,96.3,95.7,97.6,101.2
豆类生产价格指数当季值（上年同期=100）,109.3,114.6,115.4,116,103.9,109.4,101.7,98,105.4,104.1,99,101,96.2,96.9,98.6,94.6,99.6,99.5,97.8,99.5,98.1,98.8,96.6,93.5,99.6,101.6,101.5,101.9,104.1,101.8,102,103.3,106.1,106.9,108.3,105.7,102,102.6,100.4,100.5,107.9,105.8,109.6,113.5,112.8,110.3,104.9,100.6,88,85.2,88.2,102.2,132.9,135.9,136.5,129.2,110.2,108.3,104.2,102.5,100,95,94.4,93.5,92.7,95.4,100
大豆生产价格指数当季值（上年同期=100）,109.3,116,117.3,117.1,104.4,109.6,100.9,96.8,100.9,103.6,99.7,100.3,95.9,96.1,98.3,97.5,99.6,98.8,97.7,97.3,97.2,98.8,97,94,99.6,102.2,100.8,100.8,103.3,100.6,102.3,103,106.5,107.3,108.7,107.9,104.8,105.1,103.6,104.5,109.3,106,108.5,111.2,108.9,107,103.9,98.7,85.8,83.8,88,103.2,136.5,139.8,140.1,131.1,110.5,108.3,103.2,102.1,99,94.3,94,92.1,90.9,94,98.1
薯类生产价格指数当季值（上年同期=100）,91.4,86.3,99.1,102.3,100.3,102.8,105.4,103.3,105.6,117.8,107.4,109.8,110.3,93.5,97.3,94.2,106,88.6,105,103.5,90.9,119.9,105.9,98.6,105.2,93.9,98.5,96.8,97.5,106.1,109.3,112.3,110.1,112.3,113.1,116.7,99.8,92.2,88.6,104,103.4,104.1,121.1,143,123.8,137,119.3,109.8,104.5,102.1,98.3,100.1,110.8,115.9,113,113.8,109.5,99.4,104.3,106.6,104.6,113.4,109.9,109.1,102.9,106.5,103.1
