date,open,high,low,close,volume
2005/1/4,2150,2155,2142,2150,58792
2005/1/5,2131,2154,2127,2154,71172
2005/1/6,2152,2168,2146,2167,66174
2005/1/7,2175,2193,2162,2182,125558
2005/1/10,2193,2200,2170,2177,87462
2005/1/11,2196,2200,2182,2185,89982
2005/1/12,2175,2185,2171,2173,59888
2005/1/13,2158,2176,2158,2166,56822
2005/1/14,2173,2179,2149,2152,101698
2005/1/17,2130,2147,2128,2144,70536
2005/1/18,2145,2150,2133,2148,97068
2005/1/19,2141,2149,2138,2148,48676
2005/1/20,2151,2155,2134,2138,50328
2005/1/21,2146,2146,2132,2136,42586
2005/1/24,2130,2156,2127,2155,79694
2005/1/25,2148,2151,2137,2138,43222
2005/1/26,2149,2152,2140,2146,44316
2005/1/27,2143,2145,2135,2140,27990
2005/1/28,2131,2133,2108,2117,84258
2005/1/31,2118,2119,2086,2090,95226
2005/2/1,2098,2102,2092,2098,42160
2005/2/2,2080,2087,2073,2087,51436
2005/2/3,2084,2097,2082,2096,26450
2005/2/4,2088,2100,2086,2093,29572
2005/2/16,2168,2168,2138,2141,53384
2005/2/17,2144,2157,2134,2156,55822
2005/2/18,2180,2198,2180,2187,90224
2005/2/21,2191,2223,2187,2223,95812
2005/2/22,2225,2293,2223,2293,245800
2005/2/23,2327,2350,2298,2308,273168
2005/2/24,2323,2361,2311,2359,345048
2005/2/25,2331,2344,2313,2326,302260
2005/2/28,2410,2422,2410,2422,50928
2005/3/1,2460,2488,2443,2468,380232
2005/3/2,2444,2560,2442,2560,540454
2005/3/3,2580,2600,2545,2567,512330
2005/3/4,2581,2612,2511,2556,734712
2005/3/7,2580,2602,2566,2584,523262
2005/3/8,2525,2536,2498,2523,429588
2005/3/9,2560,2568,2533,2534,244772
2005/3/10,2534,2562,2527,2558,323494
2005/3/11,2585,2623,2585,2612,334558
2005/3/14,2700,2709,2660,2709,203540
2005/3/15,2730,2801,2711,2801,241514
2005/3/16,2862,2871,2854,2871,88722
2005/3/17,2856,2926,2825,2839,257330
2005/3/18,2835,2866,2758,2758,150360
2005/3/21,2720,2734,2699,2713,10958
2005/3/22,2600,2659,2600,2628,76814
2005/3/23,2628,2647,2585,2589,46118
2005/3/24,2606,2674,2606,2643,81876
2005/3/25,2663,2680,2658,2663,50704
2005/3/28,2680,2680,2648,2658,21794
2005/3/29,2645,2663,2641,2642,9538
2005/3/30,2691,2691,2620,2630,8040
2005/3/31,2643,2699,2643,2671,22968
2005/4/1,2608,2608,2572,2585,13826
2005/4/4,2581,2648,2581,2625,8008
2005/4/5,2620,2632,2603,2618,5836
2005/4/6,2635,2649,2620,2640,5142
2005/4/7,2676,2688,2657,2672,4106
2005/4/8,2660,2661,2634,2635,3040
2005/4/11,2617,2622,2560,2571,6460
2005/4/12,2573,2596,2570,2573,4422
2005/4/13,2580,2588,2558,2570,3996
2005/4/14,2596,2600,2567,2584,6782
2005/4/15,2570,2579,2556,2568,2662
2005/4/18,2568,2575,2537,2562,8432
2005/4/19,2560,2608,2554,2605,9092
2005/4/20,2667,2687,2661,2687,7876
2005/4/21,2678,2706,2594,2606,27552
2005/4/22,2650,2653,2617,2643,8402
2005/4/25,2601,2673,2601,2667,25476
2005/4/26,2643,2653,2637,2640,11374
2005/4/27,2640,2644,2616,2619,5996
2005/4/28,2615,2619,2590,2610,20290
2005/4/29,2590,2601,2581,2592,4336
2005/5/9,2638,2638,2596,2596,9390
2005/5/10,2596,2602,2582,2595,5150
2005/5/11,2588,2607,2582,2586,8972
2005/5/12,2588,2600,2586,2589,3494
2005/5/13,2571,2571,2506,2515,16252
2005/5/16,2502,2535,2502,2526,7668
2005/5/17,2540,2548,2486,2502,22118
2005/5/18,2500,2529,2480,2523,18214
2005/5/19,2541,2560,2520,2527,46714
2005/5/20,2516,2534,2513,2530,17860
2005/5/23,2550,2610,2546,2608,32672
2005/5/24,2588,2596,2562,2571,39684
2005/5/25,2599,2609,2585,2589,33084
2005/5/26,2657,2691,2655,2687,60516
2005/5/27,2728,2740,2708,2724,62040
2005/5/30,2694,2747,2694,2722,70146
2005/5/31,2760,2782,2732,2744,55846
2005/6/1,2740,2762,2688,2695,99398
2005/6/2,2712,2718,2672,2698,68668
2005/6/3,2678,2692,2665,2685,52418
2005/6/6,2740,2788,2730,2788,88278
2005/6/7,2730,2757,2720,2740,83842
2005/6/8,2721,2730,2703,2725,72164
2005/6/9,2681,2720,2681,2712,167414
2005/6/10,2750,2750,2718,2718,123560
2005/6/13,2730,2740,2702,2708,73222
2005/6/14,2720,2724,2692,2701,68702
2005/6/15,2732,2754,2725,2752,141446
2005/6/16,2797,2817,2778,2781,379272
2005/6/17,2790,2795,2772,2786,289674
2005/6/20,2896,2896,2838,2839,284212
2005/6/21,2838,2844,2819,2842,379076
2005/6/22,2860,2865,2835,2839,365890
2005/6/23,2840,2842,2770,2774,449788
2005/6/24,2777,2809,2766,2803,319988
2005/6/27,2800,2804,2766,2771,343682
2005/6/28,2667,2678,2667,2667,146126
2005/6/29,2667,2692,2660,2690,263618
2005/6/30,2692,2693,2637,2649,287560
2005/7/1,2650,2685,2650,2682,245204
2005/7/4,2690,2707,2671,2704,310394
2005/7/5,2706,2720,2693,2702,256258
2005/7/6,2733,2750,2708,2711,229164
2005/7/7,2710,2718,2701,2703,129824
2005/7/8,2690,2702,2681,2701,124288
2005/7/11,2675,2689,2669,2681,94610
2005/7/12,2690,2700,2682,2689,73504
2005/7/13,2693,2693,2665,2665,64564
2005/7/14,2680,2691,2674,2682,49374
2005/7/15,2704,2721,2694,2710,68410
2005/7/18,2725,2726,2695,2698,71228
2005/7/19,2705,2705,2684,2694,59300
2005/7/20,2660,2663,2596,2615,98526
2005/7/21,2625,2645,2620,2640,105082
2005/7/22,2528,2603,2528,2565,148218
2005/7/25,2550,2573,2538,2543,143374
2005/7/26,2556,2565,2547,2555,105334
2005/7/27,2550,2565,2547,2563,90308
2005/7/28,2570,2575,2560,2562,53126
2005/7/29,2571,2574,2542,2551,75158
2005/8/1,2545,2565,2514,2514,89270
2005/8/2,2531,2559,2515,2555,157746
2005/8/3,2560,2570,2551,2558,91242
2005/8/4,2530,2530,2514,2523,80348
2005/8/5,2526,2543,2526,2536,80666
2005/8/8,2530,2552,2526,2539,98944
2005/8/9,2526,2537,2519,2521,80414
2005/8/10,2505,2505,2486,2492,103056
2005/8/11,2495,2510,2495,2509,77600
2005/8/12,2505,2516,2495,2514,70930
2005/8/15,2495,2497,2465,2469,118100
2005/8/16,2428,2440,2402,2408,136252
2005/8/17,2415,2424,2400,2402,113276
2005/8/18,2413,2435,2406,2430,151862
2005/8/19,2420,2425,2415,2420,82398
2005/8/22,2405,2458,2405,2455,167394
2005/8/23,2460,2489,2451,2481,164694
2005/8/24,2475,2477,2448,2464,179890
2005/8/25,2455,2472,2443,2468,192740
2005/8/26,2439,2439,2412,2415,154422
2005/8/29,2438,2467,2435,2463,179656
2005/8/30,2450,2466,2445,2458,123776
2005/8/31,2475,2497,2473,2493,161188
2005/9/1,2480,2512,2475,2487,191650
2005/9/2,2505,2537,2504,2525,182622
2005/9/5,2505,2515,2494,2510,128042
2005/9/6,2524,2533,2513,2517,182906
2005/9/7,2540,2545,2503,2505,196762
2005/9/8,2503,2515,2482,2501,246658
2005/9/9,2498,2503,2489,2489,117164
2005/9/12,2467,2468,2433,2438,223652
2005/9/13,2436,2453,2429,2436,192132
2005/9/14,2443,2450,2433,2435,119538
2005/9/15,2429,2429,2410,2416,138512
2005/9/16,2395,2425,2386,2417,207436
2005/9/19,2410,2435,2406,2433,217088
2005/9/20,2440,2447,2421,2428,186282
2005/9/21,2420,2443,2416,2439,175304
2005/9/22,2448,2454,2428,2434,182820
2005/9/23,2439,2442,2426,2427,103010
2005/9/26,2421,2428,2417,2418,99310
2005/9/27,2410,2418,2402,2405,135012
2005/9/28,2394,2417,2391,2413,170354
2005/9/29,2417,2422,2410,2415,94480
2005/9/30,2410,2414,2389,2392,78884
2005/10/10,2398,2417,2391,2400,94048
2005/10/11,2385,2413,2383,2404,108816
2005/10/12,2405,2414,2400,2408,80060
2005/10/13,2454,2458,2427,2448,161672
2005/10/14,2547,2570,2532,2553,194130
2005/10/17,2548,2556,2535,2549,153260
2005/10/18,2553,2555,2514,2517,186732
2005/10/19,2517,2519,2479,2492,246988
2005/10/20,2499,2506,2471,2473,152370
2005/10/21,2466,2469,2391,2391,268020
2005/10/24,2378,2393,2350,2366,277246
2005/10/25,2385,2388,2346,2353,280150
2005/10/26,2365,2379,2358,2375,306294
2005/10/27,2360,2391,2355,2387,348698
2005/10/28,2376,2387,2366,2380,279330
2005/10/31,2365,2385,2362,2379,214316
2005/11/1,2381,2426,2379,2419,412926
2005/11/2,2420,2422,2378,2380,405456
2005/11/3,2387,2397,2380,2392,267156
2005/11/4,2430,2435,2392,2394,379194
2005/11/7,2380,2382,2330,2345,331006
2005/11/8,2336,2360,2332,2355,238606
2005/11/9,2350,2356,2306,2319,330604
2005/11/10,2331,2341,2316,2340,315598
2005/11/11,2342,2350,2322,2347,422758
2005/11/14,2378,2378,2342,2343,352472
2005/11/15,2340,2349,2334,2344,212948
2005/11/16,2335,2343,2321,2342,264720
2005/11/17,2300,2320,2298,2316,325428
2005/11/18,2312,2316,2280,2281,414256
2005/11/21,2280,2282,2264,2271,248212
2005/11/22,2272,2284,2270,2278,183836
2005/11/23,2267,2268,2248,2254,257718
2005/11/24,2230,2235,2219,2222,290602
2005/11/25,2217,2226,2206,2207,209022
2005/11/28,2205,2208,2129,2130,348872
2005/11/29,2156,2159,2117,2137,346496
2005/11/30,2129,2185,2124,2160,450874
2005/12/1,2160,2167,2138,2145,271474
2005/12/2,2151,2175,2151,2169,301352
2005/12/5,2170,2173,2150,2171,253676
2005/12/6,2184,2194,2175,2192,332774
2005/12/7,2167,2172,2153,2165,226660
2005/12/8,2160,2175,2155,2169,243944
2005/12/9,2184,2215,2178,2207,416344
2005/12/12,2221,2278,2218,2267,592322
2005/12/13,2266,2294,2242,2276,700170
2005/12/14,2310,2336,2300,2303,637050
2005/12/15,2290,2295,2272,2293,527076
2005/12/16,2274,2343,2271,2337,887426
2005/12/19,2331,2369,2313,2356,954122
2005/12/20,2399,2399,2361,2363,658928
2005/12/21,2358,2372,2301,2325,924264
2005/12/22,2364,2389,2355,2387,926210
2005/12/23,2380,2383,2364,2369,642118
2005/12/26,2373,2383,2361,2379,394982
2005/12/27,2381,2425,2357,2371,1081020
2005/12/28,2371,2383,2332,2360,858906
2005/12/29,2361,2372,2347,2357,502988
2005/12/30,2320,2329,2309,2326,381644
2006/1/2,2389,2424,2386,2400,1998
2006/1/3,2389,2424,2386,2400,1998
2006/1/4,2380,2412,2375,2412,511524
2006/1/5,2413,2440,2405,2434,743122
2006/1/6,2395,2444,2386,2438,705728
2006/1/9,2370,2414,2365,2392,822360
2006/1/10,2371,2392,2360,2389,554936
2006/1/11,2375,2380,2350,2360,580826
2006/1/12,2340,2349,2326,2339,481392
2006/1/13,2308,2314,2290,2310,455408
2006/1/16,2319,2334,2312,2329,328152
2006/1/17,2318,2336,2291,2294,462664
2006/1/18,2290,2294,2235,2253,587160
2006/1/19,2260,2280,2254,2274,383176
2006/1/20,2272,2288,2266,2279,387088
2006/1/23,2289,2314,2288,2308,323438
2006/1/24,2310,2317,2282,2286,327476
2006/1/25,2282,2314,2275,2305,274306
2006/1/26,2284,2292,2273,2278,175330
2006/1/27,2312,2329,2310,2322,212744
2006/2/6,2394,2412,2387,2388,312688
2006/2/7,2360,2387,2345,2369,281784
